movie_title,num_critic_for_reviews,duration,director_facebook_likes,actor_1_facebook_likes,num_voted_users,cast_total_facebook_likes,num_user_for_reviews,budget,actor_2_facebook_likes,movie_facebook_likes,imdb_score
9,263,79,30,940,111117,1594,245,30000000,271,13000,7.1
21,144,123,126,18000,191470,25661,278,35000000,5000,0,6.8
42,216,128,241,11000,66511,16911,200,40000000,3000,28000,7.5
54,63,121,15,4000,27675,6910,181,13000000,957,0,5.8
300,460,117,0,18000,607235,32360,2073,65000000,13000,13000,7.7
1408,314,114,101,129,209396,214,580,25000000,25,11000,6.8
1776,34,168,0,713,6303,1541,129,4000000,649,0,7.6
1911,63,121,0,974,4670,1887,27,18000000,643,0,6.0
1941,56,142,14000,16000,25193,20201,217,35000000,1000,2000,5.9
1982,6,90,66,904,122,5435,3,1000000,782,181,7.1
2012,367,158,776,1000,283418,2144,1055,200000000,468,13000,5.8
2046,194,129,0,878,41496,2378,210,12000000,643,0,7.5
[Rec] ,252,78,57,120,131462,145,374,1500000,9,15000,7.5
[Rec] 2 ,222,85,57,37,55597,73,148,5600000,9,4000,6.6
#Horror ,35,101,37,501,1547,1044,42,1500000,418,750,3.3
10 Cloverfield Lane ,411,104,16,14000,126893,14504,440,15000000,338,33000,7.3
10 Days in a Madhouse ,1,111,0,1000,314,2059,10,12000000,445,26000,7.5
10 Things I Hate About You ,133,97,19,23000,222099,37907,549,16000000,13000,10000,7.2
102 Dalmatians ,84,100,36,2000,26413,4182,77,85000000,795,372,4.8
10th & Wolf ,26,107,53,954,5557,2512,34,8000000,551,294,6.4
11:14 ,68,85,9,861,38273,2200,133,6000000,618,0,7.2
12 Angry Men ,177,96,0,359,447785,1433,888,350000,259,40000,8.9
12 Rounds ,113,108,212,969,22823,2799,113,22000000,794,0,5.6
12 Years a Slave ,597,134,0,2000,439176,4251,695,20000000,660,83000,8.1
127 Hours ,450,94,0,11000,279179,11984,440,18000000,642,63000,7.6
13 Going on 30 ,119,98,56,3000,122187,6742,339,37000000,2000,0,6.1
13 Hours ,204,144,0,769,47764,3580,219,50000000,726,44000,7.4
15 Minutes ,151,120,17,22000,42547,33585,265,42000000,9000,748,6.1
16 Blocks ,199,102,503,13000,112769,15053,305,52000000,929,0,6.6
16 to Life ,3,89,32,386,397,1647,6,1000000,261,143,6.3
17 Again ,191,102,23,2000,146899,7009,185,20000000,2000,0,6.4
2 Fast 2 Furious ,150,107,309,23000,191912,25296,370,76000000,787,0,5.9
2 Guns ,265,109,175,18000,156898,20148,172,61000000,497,22000,6.7
2:13 ,4,96,0,708,961,2307,12,3500000,574,211,4.8
20 Dates ,32,87,0,1000,1622,1362,83,60000,184,30,5.3
